Timestamp,Channel,RSSID
127749243,1,0.0434
127777800,1,0.0436
127802727,1,0.0437
128007524,1,0.0432
128212334,1,0.0429
128417113,1,0.0425
128621904,1,0.0421
128826734,1,0.0415
128970528,1,0.0447
129031505,1,0.045
129236321,1,0.0446
129380159,1,0.0445
129441103,1,0.0447
129482077,1,0.0446
129645912,1,0.0443
129850701,1,0.0439
130055517,1,0.0435
130260325,1,0.0432
130465115,1,0.043
130669924,1,0.0428
130874707,1,0.0422
131079495,1,0.0417
131284312,1,0.0413
131489094,1,0.041
131693918,1,0.0405
131898716,1,0.0403
132103488,1,0.0401
132308292,1,0.0396
132349286,1,0.0424
132513117,1,0.0422
132717915,1,0.0419
132922714,1,0.042
133127492,1,0.0415
133168930,1,0.0516
133332306,1,0.051
133537093,1,0.0504
133741909,1,0.0498
133946724,1,0.0492
134151511,1,0.0485
134356292,1,0.0477
134561088,1,0.0469
134765880,1,0.0466
134970698,1,0.0461
135175477,1,0.0457
135380303,1,0.0453
135585103,1,0.0447
135626111,1,0.0478
135789876,1,0.0474
135830885,1,0.0474
135994701,1,0.0471
136138680,1,0.0468
136149772,1,0.0498
136199482,1,0.05
136404301,1,0.0493
136609092,1,0.0484
136650118,1,0.0488
136813875,1,0.0484
137018681,1,0.0478
137223469,1,0.0474
137428268,1,0.0469
137633073,1,0.0465
137837876,1,0.046
138042673,1,0.0456
138247464,1,0.0452
138452335,1,0.0449
138657062,1,0.0445
138861872,1,0.0442
139066680,1,0.0438
139271460,1,0.0432
139476260,1,0.0427
139681062,1,0.0418
139885888,1,0.0411
140090659,1,0.0405
140295483,1,0.0398
140500267,1,0.0391
140705073,1,0.0389
140909864,1,0.0386
141114661,1,0.0382
141319464,1,0.0378
141524251,1,0.0375
141729063,1,0.0372
141933862,1,0.0369
142138678,1,0.0366
142343450,1,0.0364
142548258,1,0.0362
142753066,1,0.0357
142957873,1,0.0354
143162645,1,0.0349
143367465,1,0.0343
143572268,1,0.0339
143777040,1,0.0337
143981870,1,0.0335
144186651,1,0.0333
144391456,1,0.033
144596263,1,0.0328
144733170,1,0.0444
144733880,1,0.0444
144801038,1,0.0446
145005847,1,0.0442
145210654,1,0.0438
145415461,1,0.0432
145620235,1,0.0429
145825041,1,0.0423
146029859,1,0.0418
146234631,1,0.0413
146439452,1,0.0409
146644240,1,0.0406
146849058,1,0.0401
147053859,1,0.0396
147258649,1,0.0391
147463453,1,0.0387
147668255,1,0.0384
147873025,1,0.0381
148077824,1,0.0377
148282649,1,0.0373
148487430,1,0.037
